Question Title,Description,Accepted Answer
"Android studio, reading data from Azure IoT Hub","I am using the java android_sample taken from azure-iot-hub
Basically i have a Raspberry pi that sends data with a python script to the Azure iot hub.As you can see from the picture, the IoT hub is receiving the data.In Android studio, as said, I am using the android_sample code.
I added a button and textview etc... To show the data.Now, when I go to the ""Messages to Device"" tab and send data everything works. My phone is receiving that data, and displaying it.The problem is that I want the data from the ""data"" tab. When I start the Pi script, and then the android app, it's not receiving the data that the pi is sending.When I ""send"" something from the device explorer, it is receiving that data.if you need some code I will post it, but i'm basically using the example code, just modified a bit.Your android app can receive data sent from device explorer because these are Cloud-to-Device data. While it can't receive data sent from the Raspberry Pi because these are Device-to-Cloud data. It is expected.More information you can reference .For your use case you can reference . ",Your android app can receive data sent from device explorer because these are Cloud-to-Device data. While it can't receive data sent from the Raspberry Pi because these are Device-to-Cloud data. It is expected.More information you can reference .For your use case you can reference . 
"mongo db connection issue ""Cannot call method 'update' of undefined""","i have set up a mongoldb connection as in this codelater in the code, i update documents to a collection inside a function that is repeated in intervalsthe problem is it gives an error which makes me think that somehow collection is not being defined correctly or it is not being passed into the function correctly. any help is greatly appreciated. thanks BTW code works fine if i put the establishing connection part inside the second function were collection is called. but this causes a new connection to be established every time and is very resource intensiveThis error is caused by the  variable is NOT be assigned in the callback function of , before it is invoked in the  function through accessing  function. Move  function into the callback of  as below.","This error is caused by the  variable is NOT be assigned in the callback function of , before it is invoked in the  function through accessing  function. Move  function into the callback of  as below."
Can Qt be used for developing apps for windows IoT core?,"I have been working a while with Qt and C++ environment and want to
learn Windows IoT core and its capabilities. Is there a way to do
that?QT does seem to support a compatible application model to run of Windows 10 IoT Core.Windows 10 IoT Core currently supports:",QT does seem to support a compatible application model to run of Windows 10 IoT Core.Windows 10 IoT Core currently supports:
Windows Device Portal - Install App not visible,"I would like to add my UWP app to upboard2 device by Windows Device Portal, but in apps manager I don't see the Install App tab.The version of Iot core installed is 10.0.15063.0 and my windows 10 settings are in developer mode.Any helps are appreciated
Many thanks,
emanueleI solved the problem adding the tab .I hope it can helps.",I solved the problem adding the tab .I hope it can helps.
Lost ability to read files Windows IOT,"I've been developing an app on a Raspberry Pi running Windows IoT.  I have code that successfully could read and write files from the documents folder.  Lately, I've mostly been working on the app on my local machine, since the development cycle is faster.When I went to try to run the code on the Pi again, my program could no longer see the files in the document folder.  Figuring I messed something up, I rolled back to an earlier version of the code that worked.  I got the same result.  For reference this is the code I'm using:The StorageFolder variable seems valid, but I get null for samplefile.  If I run I see the files listed.  I'm at a loss on why earlier versions of the code don't work.  The only things I can think of are:Has anyone come across a similar problem?  Thanks.I figured it out.  The files I was trying to read in were csv files.  After I brought each file into Excel and saved it and moved it back to the Pi, the app started working again.  I'm not sure why the contents of the file were prohibiting the file from being seen.  I'm going to look at the files with a hex editor to find any differences.","I figured it out.  The files I was trying to read in were csv files.  After I brought each file into Excel and saved it and moved it back to the Pi, the app started working again.  I'm not sure why the contents of the file were prohibiting the file from being seen.  I'm going to look at the files with a hex editor to find any differences."
"RPi2 PsSession: ""Command 'iotstartup' cannot be found""","I am in the process of deploying a Windows Universal App to my Raspberry Pi 2.
I am following a very handy guide published .Everything's fine but I get a peculiar warning when trying to run the  command after having established the .If I simply press return again, the message disappears and the command seems to work fine...Am I doing something wrong here?  Is it a known powershell thing, or has something gone awry on my device?   (If it's of any significance, I had to re-flash the OS once or twice in order to get anything to deploy remotely).I hope it's not my device; but I would be interested to hear of any clarification on this sort of issue.iotstartup as setcomputername are executables. Use the invoke command, see this .will do.","iotstartup as setcomputername are executables. Use the invoke command, see this .will do."
How to supply event coordinates for real-time insights events?,"When we look at the IoT Real-Time Insights service, we see that it provides a visual mapping capability.  Unfortunately, the current documentation on using this appears to be very light.  What should the JSON string structure of an incoming event contain to provide latitude and longitude data to the Map widget within a Real-Time Insights dashboard?References:During the creation of an IBM IoT Real-Time Insights environment, one must build the schema that describes the content of an incoming event.  Within an event, we get to specify ""data points"" which are basically the fields within the incoming event.  When we define a data point there is an attribute of it called ""Sensor type"" which is presumably used to provide a ""hint"" as to what kind of sensor produced that field in the event.  Contained within this set are two pre-defined values called  and  and these provide the core of the answer.  When we define the schema of an incoming event and we know that two arbitrarily named fields that we have chosen will contain the latitude and longitude information for a geospatial position, we need to define them as having the sensor types appropriate for their purpose.  Here is an example screen shot illustrating a definition:Notice specifically the value of ""Sensor type"".The JSON structure is not really important as long as the message includes two data points, one representing lat and one long. By configuring these data points with the data type Float and the sensor types  and  in the Message Schema you enable the Map widget to use these as latitude and longitude coordinates.Sample IoT Phone JSON structure that includes lat and long data points:","During the creation of an IBM IoT Real-Time Insights environment, one must build the schema that describes the content of an incoming event.  Within an event, we get to specify ""data points"" which are basically the fields within the incoming event.  When we define a data point there is an attribute of it called ""Sensor type"" which is presumably used to provide a ""hint"" as to what kind of sensor produced that field in the event.  Contained within this set are two pre-defined values called  and  and these provide the core of the answer.  When we define the schema of an incoming event and we know that two arbitrarily named fields that we have chosen will contain the latitude and longitude information for a geospatial position, we need to define them as having the sensor types appropriate for their purpose.  Here is an example screen shot illustrating a definition:Notice specifically the value of ""Sensor type"".The JSON structure is not really important as long as the message includes two data points, one representing lat and one long. By configuring these data points with the data type Float and the sensor types  and  in the Message Schema you enable the Map widget to use these as latitude and longitude coordinates.Sample IoT Phone JSON structure that includes lat and long data points:"
Perform queries over the time-series stream of data,"I'm trying to design an architecture of my streaming application and choose the right tools for the job.This is how it works currently:
Messages from ""application-producer"" part have a form of  tuples. I've already implemented all functionality before Kafka, and now I've encountered major flaw in the design. In ""Spark Streaming"" part, consolidated stream of messages is translated into stream of events. The problem is that events for the most part are composite - consist of multiple messages, which have occurred at the same time at different sensors. I can't rely on ""time of arrival to Kafka"" as a mean to detect ""simultaneity"". So I has to somehow sort messages in Kafka before extracting them with Spark. Or, more precisely, make queries over Kafka messages. Maybe Cassandra is the right replacement for Kafka here? I have really simple data model, and only two possible types of queries to perform: query by address, and range query by timestamp. Maybe this is the right choice? Do somebody have any numbers of Cassandra's throughput?  If you want to run queries on your time series, Cassandra may be the best fit - it is very write optimized, you can build 'wide' rows for your series. It is possible to make slices on your wide rows, so you can select some time ranges with only one query.On the other hand, kafka can be considered as a raw data flow - you don't have queries, only recently produced data. In order to collect data based on some key in the same partition, you have to select this key carefully. All data within same partition are time sorted.Range Query on Timestamp is the classic use case of cassandra , if u need address based queries as well u would have to make them as clustering column if using cassandra . As far as cassandra througput are concerned if you can invest in proper performance analysis on cassandra cluster you can achieve very high write throughput . But I have used SparkQL , Cassandra Driver and spark Cassandra connector they don't really give high query throughput speed until you have a big cluster with high CPU configuration , it does not work well with small dataset .Kafka should not be used as data source for queries , its more of commit log","If you want to run queries on your time series, Cassandra may be the best fit - it is very write optimized, you can build 'wide' rows for your series. It is possible to make slices on your wide rows, so you can select some time ranges with only one query.On the other hand, kafka can be considered as a raw data flow - you don't have queries, only recently produced data. In order to collect data based on some key in the same partition, you have to select this key carefully. All data within same partition are time sorted.Range Query on Timestamp is the classic use case of cassandra , if u need address based queries as well u would have to make them as clustering column if using cassandra . As far as cassandra througput are concerned if you can invest in proper performance analysis on cassandra cluster you can achieve very high write throughput . But I have used SparkQL , Cassandra Driver and spark Cassandra connector they don't really give high query throughput speed until you have a big cluster with high CPU configuration , it does not work well with small dataset .Kafka should not be used as data source for queries , its more of commit log"
Not able to add device in IBM bluemix?,"I am not able to add Raspberry Pi to IBM Bluemix. I have generated the access keys and followed all the steps. But when I click on the portal add a device, it asks for device types on creating new one I am still not able to add the device. Has the device adding process changed in new IBM Bluemix portal because none of the recipes defines it. Please provide the latest steps if someone has.Yes, there was a change in the device portal. Previously there may have been a drop down that had raspberry pi as an option.  Now if you want to add a device and don't already have a raspberry pi device type defined just click ""add device"" 
then ""create device type""  and add the info to define your device.  Note that the metadata field is optional.  Once you have gone through the steps to add ""device type"", that type will then be available to select when you add device and you can choose it as the type to add, then click next and the screen will have a place to add device ID.
I am adding a few screen shots for reference. 
Your device id would be the mac address of the Raspberry pi ( without the colons ). e.g: A mac address would be b8:27:eb:98:46:0a, and the device id would be b827eb98460a. Hope this helps.","Yes, there was a change in the device portal. Previously there may have been a drop down that had raspberry pi as an option.  Now if you want to add a device and don't already have a raspberry pi device type defined just click ""add device"" 
then ""create device type""  and add the info to define your device.  Note that the metadata field is optional.  Once you have gone through the steps to add ""device type"", that type will then be available to select when you add device and you can choose it as the type to add, then click next and the screen will have a place to add device ID.
I am adding a few screen shots for reference. 
Your device id would be the mac address of the Raspberry pi ( without the colons ). e.g: A mac address would be b8:27:eb:98:46:0a, and the device id would be b827eb98460a. Hope this helps."
Why oBIX and CoAP together required,"I am working on an building automation IOT system which has both oBIX and CoAP application to provide web services. As per my knowledge CoAP layer operates above oBIX handler. Also some interfaces of oBIX is similar to CoAP.My query is why oBIX is required? Why oBIX is necessary if CoAP is already avaliable?In IOT, CoAP is used as Binding protocol for oBIX interfaces. The oBIX specification provides for bindings using REST (using HTTP or CoAP), SOAP, and WebSocket to talk with web/internet.In many cases, your choice of binding may be dictated by the application needs, such as if you are implementing a server in a constrained environment, or for an enterprise level application.For CoAP binding following CoAP intefaces are mapped with oBIX requests:
Read - - - - - - - - - GET
Write - - - - - - - - - PUT
Invoke - - - - - - - - POST
Delete - - - - - - - - DELETE","In IOT, CoAP is used as Binding protocol for oBIX interfaces. The oBIX specification provides for bindings using REST (using HTTP or CoAP), SOAP, and WebSocket to talk with web/internet.In many cases, your choice of binding may be dictated by the application needs, such as if you are implementing a server in a constrained environment, or for an enterprise level application.For CoAP binding following CoAP intefaces are mapped with oBIX requests:
Read - - - - - - - - - GET
Write - - - - - - - - - PUT
Invoke - - - - - - - - POST
Delete - - - - - - - - DELETE"
