Question Title,Description,Accepted Answer,Label
Can Qt be used for developing apps for windows IoT core?,"I have been working a while with Qt and C++ environment and want to
learn Windows IoT core and its capabilities. Is there a way to do
that?QT does seem to support a compatible application model to run of Windows 10 IoT Core.Windows 10 IoT Core currently supports:",QT does seem to support a compatible application model to run of Windows 10 IoT Core.Windows 10 IoT Core currently supports:,1
Not able to add device in IBM bluemix?,"I am not able to add Raspberry Pi to IBM Bluemix. I have generated the access keys and followed all the steps. But when I click on the portal add a device, it asks for device types on creating new one I am still not able to add the device. Has the device adding process changed in new IBM Bluemix portal because none of the recipes defines it. Please provide the latest steps if someone has.Yes, there was a change in the device portal. Previously there may have been a drop down that had raspberry pi as an option.  Now if you want to add a device and don't already have a raspberry pi device type defined just click ""add device"" 
then ""create device type""  and add the info to define your device.  Note that the metadata field is optional.  Once you have gone through the steps to add ""device type"", that type will then be available to select when you add device and you can choose it as the type to add, then click next and the screen will have a place to add device ID.
I am adding a few screen shots for reference. 
Your device id would be the mac address of the Raspberry pi ( without the colons ). e.g: A mac address would be b8:27:eb:98:46:0a, and the device id would be b827eb98460a. Hope this helps.","Yes, there was a change in the device portal. Previously there may have been a drop down that had raspberry pi as an option.  Now if you want to add a device and don't already have a raspberry pi device type defined just click ""add device"" 
then ""create device type""  and add the info to define your device.  Note that the metadata field is optional.  Once you have gone through the steps to add ""device type"", that type will then be available to select when you add device and you can choose it as the type to add, then click next and the screen will have a place to add device ID.
I am adding a few screen shots for reference. 
Your device id would be the mac address of the Raspberry pi ( without the colons ). e.g: A mac address would be b8:27:eb:98:46:0a, and the device id would be b827eb98460a. Hope this helps.",1
"Flashing Freescale K64F Board with mbed bin file end up with fail.txt containing ""INVALID BINARY NVIC""","I try to flash the IBM InternetOfThingsKit Freescale K64F board with a binary compiled at mbed.org. I set the platform to ""Ethernet IoT Starter Kit"" and compiled the hello-world blinking LED example without any compiler errors. After I copied the bin file on the mbed flash drive I instantly found the fail.txt file on the flashdrive. Even before pressing the button to flash the binary. The failed.txt file contains ""INVALID BINARY NVIC"".I also tried it with ""FRDM-K64F"" instead of ""InternetOfThingsKit"" platform.This is a MAC related problem. Starting with Yosemite MAC has a problem to mount the device in the right way and end up with a scrambled bin file which is then rejected by the bootloader. I still have the problem with OSX 10.10.5. Solution is to use a Linux machine or Virtual Box with a Linux OS.",This is a MAC related problem. Starting with Yosemite MAC has a problem to mount the device in the right way and end up with a scrambled bin file which is then rejected by the bootloader. I still have the problem with OSX 10.10.5. Solution is to use a Linux machine or Virtual Box with a Linux OS.,1
Sensors monitoring using Python on Rapsberry,"I would like some help to find the best way to code a Raspberry python program.In this program, I need to monitor several values coming from various sensors connected to the raspberry, and interact with these values from a pyqt GUI. The GUI and the sensors drivers have to be completely separated.To do that, I was considering to make and use a ""Variable Manager"" object between the GUI and the sensors, as a ""buffer"" or something like that. With the use of threads and locks, the sensors would update continuously the Variable Manager (with while loops in the corresponding drivers), while the GUI would query certains values whenever I need.It would be also nice to be able to send some commands to the sensors from the gui but I don't know how to do that in this configuration.Do you think that this could work correctly ? Is there any other way more efficient / more adapted to do that ?Thank you a lot in advance ! I would do it like this:[Physical Sensors] --> [Python Sensor Monitor] --> [PubNub / similar]Then your GUI can use a PubNub consumer to get the data as it's streaming and inspect/do stuff. You can use JS or Python here!",I would do it like this:[Physical Sensors] --> [Python Sensor Monitor] --> [PubNub / similar]Then your GUI can use a PubNub consumer to get the data as it's streaming and inspect/do stuff. You can use JS or Python here!,1
Communicate OPC Server,"Is there any dashboard solutions available to communicate OPC Server directly (OLE for Process Control + Used in Industrial Standards)? 
If so please suggest the dashboard vendor name.I am using , an open-source IOT platform. The IOT Gateway service gathers the time-stamped data (telemetry) from OPC UA servers on my network. Thingsboard stores all the telemetry in a open-source, fault tolerant database, and provides web-based, customizable dashboards for visualization.Check out the live demo.","I am using , an open-source IOT platform. The IOT Gateway service gathers the time-stamped data (telemetry) from OPC UA servers on my network. Thingsboard stores all the telemetry in a open-source, fault tolerant database, and provides web-based, customizable dashboards for visualization.Check out the live demo.",1
AWS IoT: Use MQTT on port 443,"I am trying to setup AWS IoT in Pi on port 443 using Paho MQTT .As AWS document () mentioned that I actually don't know how to achieve it properly in Paho MQTT ()What I tried to do (mqtt_apln.py)In Pi, I installed python 2.7.14 and paho-mqttBut When I run python mqtt_apln.py, it shows error: ImportError: No module named paho.mqtt.clientAny suggestion is appreciatedI think there are two things going on here. First, a  should make the package active for the current referenced python. For instance, under a 3.6.2 virtualenv should return:How did you install the paho-mqtt package, via an  package or directly with pip? Personally I virtualenv everything or include the package within the application directory via  to reference the current working directory.From there it's working with the ALPN configuration. I reduced your code to just publish to the  topic on my end-point and used the AWS IoT console-->Test to subscribe to the  topic. For both python 2.7.12 and 3.6.2 I successfully received messages.The main changes were to remove the callbacks, place a  followed by a  to give the thread time to publish, then closed the connection.Here is the code paired down for the publish only:Please let me know if that works for you? It's awesome that AWS now supports MQTT connections on port 443 without having to utilize websockets (and the need for SigV4 credentials).I ran into the same issue regarding the use of paho-mqtt with aws IoT core.
The tutorial uses no clientID. Depending on your security rules you have to deliver a client ID to be able to connect properly. Here an SDK-example ruleset where only the clients ""sdk-java"", ""basicPubSub"" and ""sdk-nodejs-*"" are allowed to connect.To allow connection in case you have permits based on clientid change this line:MYCLIENTID is one of the three ""sdk-java"", ""basicPubSub"" or ""sdk-nodejs-*"" for this example.","I think there are two things going on here. First, a  should make the package active for the current referenced python. For instance, under a 3.6.2 virtualenv should return:How did you install the paho-mqtt package, via an  package or directly with pip? Personally I virtualenv everything or include the package within the application directory via  to reference the current working directory.From there it's working with the ALPN configuration. I reduced your code to just publish to the  topic on my end-point and used the AWS IoT console-->Test to subscribe to the  topic. For both python 2.7.12 and 3.6.2 I successfully received messages.The main changes were to remove the callbacks, place a  followed by a  to give the thread time to publish, then closed the connection.Here is the code paired down for the publish only:Please let me know if that works for you? It's awesome that AWS now supports MQTT connections on port 443 without having to utilize websockets (and the need for SigV4 credentials).I ran into the same issue regarding the use of paho-mqtt with aws IoT core.
The tutorial uses no clientID. Depending on your security rules you have to deliver a client ID to be able to connect properly. Here an SDK-example ruleset where only the clients ""sdk-java"", ""basicPubSub"" and ""sdk-nodejs-*"" are allowed to connect.To allow connection in case you have permits based on clientid change this line:MYCLIENTID is one of the three ""sdk-java"", ""basicPubSub"" or ""sdk-nodejs-*"" for this example.",1
MQTT over websocket in python,"is there any support in python to subscribe on mqtt broker with port 8080i can not connect with this code. Mosquitto has websocket support at port 8080 but this paho library does not work for it. any solution for python?
i am using python 2.7 on windows 10.The Paho MQTT module introduced websocket support some days ago. I don't think it is released yet, but you can install from the master under Linux branch usingAlso works under windows. (Thanks for info from the comments)You can use the websockets as transport by connecting withIf you try to use the websocket protocol with the python client because you also need to connect a browser client (for example MQTT.js) then you can also configure mosquitto to listen to  and the normal .Simply create a configuration file for example in with the following contents:Then you can then run mosquitto withYou should see similar output:Your python client then connects to port 1883 and the browser client to 9001You can use  to test the websocket listener. Just point it to Between Feb and now the paho.mqtt.python codebase has been fixed. Just add  as Fl0v0 suggested, it simply works. Below is the full code which subscribes to everything or everything under . The code tested is on the master branch with commit hash  on June 3 of 2016. Update: The code above does not work on Windows 7 with python 2.7.6 that I tested with, by invoking from one version of Cygwin (not the cygwin python though). None of the topic  or  gives any published message back. Instead, pub or sub to solid topics works as the example follows. Patch paho.mqtt.python  and . Then run  in one terminal. Run  in another terminal, twice. The subscriber terminal will print out two messages published by the publisher. Patch to :Patch to : No, the Python version of the Paho library does not support MQTT over Websockets.In fact I believe the only native client side (not in a browser) MQTT library that supports MQTT over Websockets is the NodeJS module ()","The Paho MQTT module introduced websocket support some days ago. I don't think it is released yet, but you can install from the master under Linux branch usingAlso works under windows. (Thanks for info from the comments)You can use the websockets as transport by connecting withIf you try to use the websocket protocol with the python client because you also need to connect a browser client (for example MQTT.js) then you can also configure mosquitto to listen to  and the normal .Simply create a configuration file for example in with the following contents:Then you can then run mosquitto withYou should see similar output:Your python client then connects to port 1883 and the browser client to 9001You can use  to test the websocket listener. Just point it to Between Feb and now the paho.mqtt.python codebase has been fixed. Just add  as Fl0v0 suggested, it simply works. Below is the full code which subscribes to everything or everything under . The code tested is on the master branch with commit hash  on June 3 of 2016. Update: The code above does not work on Windows 7 with python 2.7.6 that I tested with, by invoking from one version of Cygwin (not the cygwin python though). None of the topic  or  gives any published message back. Instead, pub or sub to solid topics works as the example follows. Patch paho.mqtt.python  and . Then run  in one terminal. Run  in another terminal, twice. The subscriber terminal will print out two messages published by the publisher. Patch to :Patch to : No, the Python version of the Paho library does not support MQTT over Websockets.In fact I believe the only native client side (not in a browser) MQTT library that supports MQTT over Websockets is the NodeJS module ()",1
Emqtt - How to implement ACL for huge no. of clients,"I am using Emqtt (emqtt.io) broker for my next application. The scene is - 
I’ll have multiple clients(10,000s) and each of them will be publishing or subscribing to topics. But i want to restrict every client to publish and subscribe only on topics congaing there own client id - For ex- 
Topics will be- my_device//updatemy_device//updatemy_device//updateIf the middle attribute is the client ID, how can i restrict clients to do a pubs only on that particular topic and no one should be able to subscribe to 
  and hence receiving all my messages. I saw ACL plugin, saw this code ( . ) but there i have to define every client manually ? and what if a new user is added, how will i add one more rule automatically ? because with my understanding, this file is loaded on starting up of the broker, right ?.  Can You help me with that ? The Emqtt user guide lists a set of plugins that can be used to store the ACL in a database:The links in the that doc are broken, but the projects are hosted under the same git organisation
lot of ways to check loginalso can control acl accessbut internal conf More efficientthe magic var in topic patternthe operationallow clientid  sub :allow username  pub/sub :deny all other:
example from v4, but v2 also support  NOTE: all cluster node should configBest option is to use a plugin for auth/acl. I prefer mongodb plugin but there are other plugins provided.From their docson github:It works great for authentication but I haven't yet been able to subscribe or publish using the plugin settings currently.Also if the plugins are giving you problems with authentication, try building your emqtt from source","The Emqtt user guide lists a set of plugins that can be used to store the ACL in a database:The links in the that doc are broken, but the projects are hosted under the same git organisation
lot of ways to check loginalso can control acl accessbut internal conf More efficientthe magic var in topic patternthe operationallow clientid  sub :allow username  pub/sub :deny all other:
example from v4, but v2 also support  NOTE: all cluster node should configBest option is to use a plugin for auth/acl. I prefer mongodb plugin but there are other plugins provided.From their docson github:It works great for authentication but I haven't yet been able to subscribe or publish using the plugin settings currently.Also if the plugins are giving you problems with authentication, try building your emqtt from source",1
How to install Microsoft.Azure.Devices NuGet package for Unity?,"I was working with Unity and Hololens and tried to establish connection to Azure Iot Hub via MQTT protocol. Microsoft provides , but unfortunately, I encountered a problem with the tutorial:In the picture above, I have selected Microsoft.Azure.Device NuGet package for installation. I have tried version 1.0.0 and also the latest one available, 1.2.4. The projects were automatically generated by Unity and that is probably the reason, why I do encounter this problem. Which problem? After I try to install the selected NuGet, I encounter the following error:I was like, ""Hmm, I must have wrong .NET framework version. I wonder if I can change that..."" I tried to go to project properties like thisMicrosoft advises changing .NET framework from  context menu item:
 (4.24.2017)
 (4.24.2017)However, this feature must be blocked by something, because the view that is supposed to open flashes white and disappears immediately. I suppose Unity doesn't like people tinkering with project properties, but what else can I do? Incompatible .NET framework issue needs to be resolved, so that the NuGet package can be installed, but how do I do that?In short, Sorry, this isn't possible due Unity's restriction to .net 3.5. To be exactly, they use a custom version of mono-2.","Sorry, this isn't possible due Unity's restriction to .net 3.5. To be exactly, they use a custom version of mono-2.",1
Which protocol can be used for M2M communication in IoT?,"I am working on Contiki OS based platform development for IoT.I want to implement M2M in IoT.Let say , i have one sensor and one switch.Now i want to trigger switch based on threshold of sensor readings.I can achieve this easily.But i want some solid M2M protocol , which can be easily used for binding multiple devices.IFTTT does the same thing from cloud.So is their any proven protocol available for M2M in IoT.A protocol like  sounds like it might be appropriate for your needs (obviously you would need to adapt it a little for the wireless comms space).You can use  or  - both are proven standards with many lightweight implementations, even for 8-bit MCUs.For more alternatives, see  to a similar question.","A protocol like  sounds like it might be appropriate for your needs (obviously you would need to adapt it a little for the wireless comms space).You can use  or  - both are proven standards with many lightweight implementations, even for 8-bit MCUs.For more alternatives, see  to a similar question.",1
